"name","height","weight","games","touchdowns","points","two_point_points","total_singles","fumbles","fumbles_lost","fumble_return_yards","fumble_touchdowns"
"Brandyn_Thompson",5.1,188,23,0,0,0,0,0,0,0,0
"Brendan_Bigelow",5.1,180,1,0,0,0,0,0,0,0,0
"Brendan_Dunn",6.07,300,1,0,0,0,0,0,0,0,0
"Brendan _Gillanders",5.11,211,11,0,0,0,0,0,0,0,0
"Brendan_Morgan",6,192,2,0,0,0,0,0,0,0,0
"Brendon_LaBatte",6.04,304,2,0,0,0,0,0,0,0,0
"Brett_Cameron",6.01,197,2,0,3,0,0,0,0,0,0
"Brett_Carter",6,200,7,0,0,0,0,0,0,0,0
"Brett_Jones",6.02,318,2,0,0,0,0,0,0,0,0
"Brett_Lauther",6.01,195,7,0,39,0,4,0,0,0,0
"Brett_Maher",6,186,21,0,133,0,11,1,1,0,0
"Brett_Smith",6.03,206,7,4,24,0,0,0,0,0,0
"Brett_Swain",6,200,17,5,30,0,0,0,0,0,0
"Brian_Brikowski",6.04,265,9,0,0,0,0,0,0,0,0
"Brian_Brohm",6.03,232,13,2,12,0,0,2,2,0,0
"Brian_Bulcke",6.04,281,24,0,0,0,0,0,0,0,0
"Brian_Peters",6.03,218,35,1,6,0,0,1,0,0,0
"Brian_Ramsay",6.08,312,1,0,0,0,0,1,1,0,0
"Brian_Rolle",5.1,241,4,0,0,0,0,0,0,0,0
"Brian_Simmons",6.05,310,7,0,0,0,0,0,0,0,0
"Brock_Jensen",6.03,225,1,0,0,0,0,0,0,0,0
"Brody_McKnight",6,204,2,0,8,0,0,0,0,0,0
"Bruce_Johnson",5.1,176,22,0,0,0,0,0,0,3,0
"Bryan_Burnham",6.02,195,8,2,12,0,0,0,0,0,0
"Bryan_Hall",6.01,295,22,0,0,0,0,0,0,0,0
"Bryan_Payton",6.02,210,2,0,0,0,0,0,0,0,0
"Bryant_Mitchell",6.02,182,2,0,0,0,0,0,0,0,0
"Bryant_Moniz",6,200,7,4,24,0,0,1,1,0,0
"Bryant_Turner Jr.",6.02,266,27,0,0,0,0,0,0,0,0
"Bryan_Williams",5.11,198,4,0,0,0,0,0,0,0,0
"Bryn_Roy",6.01,225,8,0,0,0,0,0,0,0,0
"Buck_Pierce",6.01,195,12,1,6,0,0,1,1,0,0
"Buddy_Jackson",6.01,189,21,0,0,0,0,0,0,0,0
"Burke_Dales",6.03,225,2,0,2,0,2,1,0,0,0
"Byron_Archambault",6,245,4,0,0,0,0,0,0,0,0
"Byron_Parker",6,220,13,0,0,0,0,0,0,0,0
"Caesar_Rayford",6.07,285,1,0,0,0,0,0,0,0,0
"Calvin_McCarty",5.1,215,42,4,24,0,0,0,0,0,0
"Cameron_Chism",5.1,190,3,0,0,0,0,0,0,0,0
"Cameron_Marshall",5.11,211,7,5,34,2,0,0,0,0,0
"Cameron_Morrah",6.03,250,2,0,0,0,0,0,0,0,0
"Cameron_Sheffield",6.02,250,10,0,0,0,0,0,0,0,0
"Carl_Fitzgerald",6.05,253,13,0,0,0,0,1,0,0,0
"Carl-Olivier_Primé",6.01,255,12,1,6,0,0,0,0,49,1
"Carlos_Anderson",5.08,180,2,1,6,0,0,0,0,0,0
"Carlos_Thomas",5.11,195,14,1,6,0,0,0,0,0,0
"Carlton_Mitchell",6.04,212,11,0,0,0,0,1,1,0,0
"Carl_Volny",5.1,210,16,0,0,0,0,1,0,0,0
"Cary_Koch",6,198,20,6,36,0,0,2,2,0,0
"Casey_Chin",5.1,215,10,0,0,0,0,0,0,0,0
"Casey_Pachall",6.05,230,2,0,0,0,0,1,1,0,0
"Cauchy_Muamba",5.11,195,28,0,0,0,0,0,0,0,0
"Cedric_McKinley",6.06,300,6,0,0,0,0,0,0,0,0
"Chad_Faulcon",6,190,1,0,0,0,0,0,0,0,0
"Chad_Johnson",6.01,188,5,1,6,0,0,0,0,0,0
"Chad_Kackert",5.08,206,9,4,24,0,0,1,1,0,0
"Chad_Kilgore",6.01,230,10,0,0,0,0,0,0,0,0
"Chad_Owens",5.08,180,32,13,80,1,0,5,5,0,0
"Chad_Rempel",6.03,225,11,0,0,0,0,0,0,2,0
"Chad_Simpson",5.09,205,14,6,36,0,0,4,3,0,0
"Chandler _Jones ",5.08,180,2,0,0,0,0,1,0,0,0
"Charleston_Hughes",6.01,250,37,0,0,0,0,0,0,0,0
"Charlie_Power",6.03,239,6,0,2,1,0,0,0,0,0
"Chase_Baker",6.02,300,1,0,0,0,0,0,0,0,0
"Chase_Clement",6.01,222,2,0,0,0,0,1,1,0,0
"Chaz_Schilens",6.04,220,4,0,0,0,0,0,0,0,0
"Chevon_Walker",5.1,201,27,10,60,0,0,1,1,0,0
"Chika_Madu",5.09,178,1,0,0,0,0,0,0,0,0
"Chip_Cox",5.09,185,48,2,12,0,0,0,0,59,1
"Chris _Ackie",6.02,205,1,0,0,0,0,0,0,0,0
"Chris_Amrhein",6.03,221,1,0,0,0,0,0,0,0,0
"Chris_Baker ",6.03,251,2,0,0,0,0,0,0,0,0
"Chris_Best",6.05,301,3,0,0,0,0,0,0,0,0
"Chris_Clady",6.03,260,2,0,0,0,0,0,0,0,0
"Chris_Cvetkovic",6.02,241,1,0,0,0,0,0,0,0,0
"Chris_Garrett",5.07,195,5,2,12,0,0,2,2,0,0
"Chris_Getzlaf",6.01,208,42,12,74,1,0,2,1,0,0
"Chris_Greaves",6.05,309,4,0,0,0,0,0,0,0,0
"Chris_Hart",6.02,220,1,0,0,0,0,1,0,0,0
"Chris_Jennings",5.1,218,3,2,12,0,0,0,0,0,0
"Chris_Kowalczuk",6.05,303,1,0,0,0,0,0,0,0,0
"Chris_Matthews",6.05,227,6,1,6,0,0,0,0,0,0
"Chris_McCoy",6.03,261,3,0,0,0,0,0,0,0,0
"Chris_Milo",5.11,205,47,0,383,0,9,0,0,0,0
"Chris_Normand",6.02,239,2,0,0,0,0,0,0,0,0
"Chris_Olson",6.04,240,2,0,0,0,0,0,0,0,0
"Chris_Rainey",5.08,190,8,2,12,0,0,0,0,0,0
"Chris_Randle",5.11,193,42,2,12,0,0,0,0,0,0
"Chris_Rwabukamba",5.11,192,28,0,0,0,0,0,0,0,0
"Chris_Smith",5.1,195,7,0,0,0,0,0,0,0,0
"Chris_Thompson",6,200,17,0,0,0,0,1,1,63,0
"Christopher _Johnson",5.11,220,2,0,0,0,0,0,0,0,0
"Christopher_Lyle",6.03,260,1,0,0,0,0,0,0,0,0
"Chris_Van Zeyl",6.06,312,5,0,0,0,0,0,0,0,0
"Chris_Williams",5.09,155,6,1,6,0,0,1,1,0,0
"Chris_Wilson",6.04,240,8,0,0,0,0,0,0,0,0
"Ciante_Evans",5.11,190,2,0,0,0,0,0,0,0,0
"C.J._Gable",6.01,215,29,19,114,0,0,4,2,0,0
"C.J._Tarver",5.08,160,1,0,0,0,0,0,0,0,0
